Feature,Weight
txt,7.904903147109989
mobile,7.763051799698787
reply,6.711682281694418
claim,6.594919919087303
prize,5.681769106235005
service,5.63272262664831
tone,5.2482329646815575
win,5.000625162540358
uk,4.939074532634881
stop,4.843823878311825
chat,4.69590394990308
text,4.443786183512955
new,4.365887985290053
free,4.175338147133444
cash,4.148828507574928
urgent,4.134416909630309
video,4.125296223512245
tf,4.107385120566709
ringtone,4.07227207269079
nokia,4.015170426310891
com,3.9925950256999054
per,3.9826004588983897
min,3.9253589313917288
credit,3.835428378199748
pobox,3.561266008794858
sexy,3.4941125306947023
msg,3.4751169466936966
apply,3.4653740235301735
link,3.430117578245838
co uk,3.419543939581755
customer,3.3894458958519116
cost,3.361569733259168
call,3.3355512999218235
voucher,3.30825852571217
talk time,3.29225281020668
guaranteed,3.2906112113202335
ltd,3.2583760097467787
rate,3.139928605071883
content,3.1266681854001575
ppm,3.1216808401793683
network,3.0710305082236755
bid,3.0433867493292204
mob,2.9911199912193265
sm,2.9688461760178555
arsenal,2.8720437927936047
xx,2.8709983925730977
next,2.863322710125236
help,2.8623115890037174
age,2.8371933047357545
info,2.8346722547550156
wap,2.786873641114097
draw,2.782267011882489
award,2.7382461563253715
find,2.7339283806055015
box,2.729815859556898
landline,2.7270240989316115
please call,2.7250217150016853
information,2.7149079610525577
subscription,2.7008908310644197
game,2.6995350455455838
receive,2.6957464455468134
order,2.6638860024490914
std,2.6581115041825534
user,2.6431237303436257
awarded,2.622996701680451
dating,2.6224835691917043
contact,2.5814292881907606
pm,2.5694569401676928
divorce barbie,2.537865331708949
camera,2.5352734155533656
waiting,2.5322777494017084
call freephone,2.52371912525048
freephone,2.5123060929057277
freemsg,2.510714701038877
private,2.484367103027248
message,2.478890193556798
sunshine,2.45468049690879
interflora,2.450261025937197
send stop,2.4402343536582793
offer,2.4398009922269828
private account,2.406558096394286
account statement,2.406558096394286
delivery,2.395217818894497
gbp,2.3930444302758422
free text,2.3775077664388418
enjoy,2.377071427445742
charged,2.3766193651132435
good luck,2.3765442443167863
welcome,2.3597942415345226
po,2.3597424451690543
collect,2.3517926788655807
orange,2.348248462515532
latest,2.3437987415663852
dogging,2.3405204608621655
choose,2.331256613548183
divorce,2.3197509597161305
txts,2.27453410213113
picture,2.2742238663066234
join,2.2700898929740383
unsubscribe,2.251226619971306
paris,2.2439914721602623
auction,2.2410571606134306
national,2.226311493898842
adult,2.2222102592450703
holiday,2.21241845342204
send,2.2074322395406587
statement,2.170812154738452
lookatme,2.1554379213704973
valid,2.147219406227528
attempt,2.145247785989362
new message,2.137772322923471
credit topped,2.1373887545354413
weekly,2.136130465919807
access,2.1234743097272957
tb,2.1200015106162193
santa,2.112606926458838
code,2.098979089383084
filthy,2.093084616049326
ac,2.0776525193649156
sm ac,2.0776525193649156
lost,2.058787552659584
pm cost,2.056320235438115
poly,2.044701605831759
yr,2.040732239987339
area,2.0328888841444703
sue,2.026859670828321
club,2.009862184343264
quiz,2.0055987174601424
entry,2.0024547346863737
visit,1.9946987567382772
xmas,1.994034635842402
renewal,1.9837600879590778
stop text,1.9731390268695843
eg,1.9697161653205975
bill,1.9531421671204852
euro,1.9404980422651588
sorry missed,1.9271156612013034
fancy,1.9270103980807138
thousand,1.9183677766429392
shortly,1.9170252504571232
ur,1.9156636779353062
opt,1.9028450498692575
dob asap,1.9027809477794106
dob,1.9027809477794106
brought,1.8868278820395885
week,1.8836601194538705
bloomberg,1.8762705657507888
optout,1.8584681221557096
claim call,1.8570946003780842
word,1.8474021967779521
august,1.8402119942382198
collection,1.840186586718325
wk,1.8246880240858367
play,1.8232608051894028
someone know,1.8184958304858423
member,1.8169314151934186
web,1.8133391441557407
asap,1.8113009189408729
po box,1.8053961454509297
dark become,1.8037143795808734
donate,1.792659283782502
live,1.7885771281398326
darling,1.7659444319293844
everyone,1.7592061791385114
realize,1.7574212359837913
girl waiting,1.7545831758319688
running,1.7504338944215259
find th,1.7266558936870622
enough find,1.7266558936870622
lady,1.7236926970685693
enjoy one,1.7209895259069627
rcv,1.7194289676642716
heard call,1.7194217150074975
real,1.7191298355707147
fil,1.716096057786929
line,1.7091733205576634
created web,1.7049252212558352
filthy story,1.7033146144141351
girl,1.7014867484819864
gift,1.6969118253061715
sky,1.696651928041752
come take,1.695563313784128
music,1.6795906863108983
call landline,1.6771440485673716
bonus,1.6767788616383514
balance,1.6734200317719528
stay night,1.6664042084732318
everyone around,1.6540496379687033
vodafone,1.6418283855900282
pound,1.6394977239303392
winner,1.6357760553919112
truly,1.6352662323889473
selected,1.63438106063145
child,1.6337017539212486
condition,1.6264109677564633
ringtones,1.6235132650705908
unique,1.6202070772675798
fantasy,1.6147117643913707
dark,1.6065802678076848
customer service,1.606387826638522
selection,1.6041944232650907
henry,1.598983453798642
direct,1.5970861216670997
new voicemail,1.5861374201588532
voicemail,1.5861374201588532
voicemail please,1.5861374201588532
chance,1.5850624867503877
wrote,1.5821958572085733
top,1.5725796044657294
chance win,1.5707219261333787
textoperator,1.5705746605837927
term,1.5685640122584654
identifier code,1.5668803340694877
expires,1.5668803340694877
identifier,1.5668803340694877
call identifier,1.5668803340694877
gift voucher,1.564002249771199
bx,1.5606410590120499
call min,1.5595227250147505
polys,1.5567248242203642
hmv,1.5564888450564751
dating service,1.5458292161932932
mths,1.5434827421092916
land,1.532673297583857
price,1.5326732357515052
question,1.5322783628825722
use,1.5315743884286264
double,1.5243946595141453
definitely paying,1.5230476232899197
hl,1.5212678441731113
evening minapn,1.520747798265975
dogging area,1.520747798265975
pc,1.5187454890305496
attempt contact,1.5171546800808842
operator,1.5119966428150142
sae,1.5096744543922547
custcare,1.5064391872984204
suite,1.5034655616423866
created,1.4963049527532275
sport,1.494695301445233
reward,1.4838253523265883
match,1.481562422990317
call claim,1.4792937182168255
beg,1.4755176379016373
sex,1.4716288359077074
nd attempt,1.4696854704071673
text call,1.4680238556913388
congratulation,1.4654359258615675
themob,1.4620222670482097
net,1.4602496075189557
notice,1.4510413977025831
final,1.450312537247199
date,1.447200733379012
flower christmas,1.4471636335400386
match please,1.445823314766627
ur mobile,1.4393527216740016
since,1.4388682229825585
special,1.433012644354137
become,1.4267286327765898
